"Time stamp","Air compressors  - Total  (kWh)","Air dryers  - Total  (kWh)","Air handlers  - Total  (kWh)","Conveyors  - Total  (kWh)","Fans  - Total  (kWh)","MDP   (kWh)","MDP2   (kWh)","Main  - Total  (kWh)"
"2022-03-01 00:00","44.15","1.33","63.13","0.0","7.24","120.84","176.8","57.12"
"2022-03-01 01:00","44.52","1.86","63.94","0.0","7.31","122.7","174.93","55.52"
"2022-03-01 02:00","45.24","1.17","62.74","0.0","7.37","121.79","177.02","57.07"
"2022-03-01 03:00","45.69","1.3","63.22","0.0","7.22","122.49","184.61","57.53"
"2022-03-01 04:00","45.23","1.14","63.56","0.0","7.18","422.04","212.89","56.53"
"2022-03-01 05:00","48.83","1.15","64.21","0.0","7.52","438.38","245.73","54.16"
"2022-03-01 06:00","100.11","2.99","63.9","2.9","7.63","638.0","300.51","50.0"
"2022-03-01 07:00","99.99","3.04","63.88","3.82","7.62","771.11","290.95","43.73"
"2022-03-01 08:00","116.4","3.26","70.38","4.26","7.83","774.94","308.63","40.18"
"2022-03-01 09:00","121.77","3.31","86.67","4.68","7.67","789.38","310.97","41.53"
"2022-03-01 10:00","90.28","3.16","86.44","2.58","7.7","762.44","306.82","38.82"
"2022-03-01 11:00","76.32","1.78","86.65","4.27","7.51","767.18","288.49","31.92"
"2022-03-01 12:00","61.85","1.62","85.97","3.29","7.51","726.41","255.74","33.25"
"2022-03-01 13:00","49.09","1.69","88.08","2.86","7.38","460.43","261.0","34.9"
"2022-03-01 14:00","42.98","1.23","86.64","2.22","7.16","178.49","247.45","33.01"
"2022-03-01 15:00","42.25","1.32","86.79","2.22","7.02","138.78","227.44","38.11"
"2022-03-01 16:00","42.65","1.33","85.53","2.22","7.28","134.96","206.38","36.99"
"2022-03-01 17:00","43.97","1.03","85.39","2.21","7.63","133.44","205.31","41.57"
"2022-03-01 18:00","44.82","0.986","86.04","2.22","7.86","130.41","204.89","43.72"
"2022-03-01 19:00","45.05","1.01","86.77","2.22","7.93","129.36","197.93","45.44"
"2022-03-01 20:00","44.83","1.38","85.61","2.22","8.01","129.05","184.14","47.09"
"2022-03-01 21:00","43.05","1.06","85.45","2.22","7.95","126.28","182.55","49.89"
"2022-03-01 22:00","44.1","1.17","85.75","2.23","7.73","126.39","177.32","54.07"
"2022-03-01 23:00","43.96","1.17","85.68","2.23","7.71","126.42","177.7","57.13"
"2022-03-02 00:00","44.21","1.3","86.09","2.22","7.67","127.32","182.1","57.0"
