,date,on_time,off_time,off_time_cutoff,threshold
0,2022-03-01 00:00:00,0,297.64,147.64,20.6492335711495
1,2022-03-01 01:00:00,0,297.63,147.63,20.647834950615
2,2022-03-01 02:00:00,0,298.81,148.81,20.8128721736843
3,2022-03-01 03:00:00,0,307.1,157.1,21.9723285967731
4,2022-03-01 04:00:00,634.93,0,0,0
5,2022-03-01 05:00:00,684.11,0,0,0
6,2022-03-01 06:00:00,938.51,0,0,0
7,2022-03-01 07:00:00,1062.06,0,0,0
8,2022-03-01 08:00:00,1083.57,0,0,0
9,2022-03-01 09:00:00,1100.35,0,0,0
10,2022-03-01 10:00:00,1069.26,0,0,0
11,2022-03-01 11:00:00,1055.67,0,0,0
12,2022-03-01 12:00:00,982.15,0,0,0
13,2022-03-01 13:00:00,721.43,0,0,0
14,2022-03-01 14:00:00,425.94,0,0,0
15,2022-03-01 15:00:00,366.22,0,0,0
16,2022-03-01 16:00:00,0,341.34,191.34,26.7612053068528
17,2022-03-01 17:00:00,0,338.75,188.75,26.3989625884209
18,2022-03-01 18:00:00,0,335.3,185.3,25.9164385040233
19,2022-03-01 19:00:00,0,327.29,177.29,24.7961434559001
20,2022-03-01 20:00:00,0,313.19,163.19,22.824088502275
21,2022-03-01 21:00:00,0,308.83,158.83,22.2142899492392
22,2022-03-01 22:00:00,0,303.71,153.71,21.4981962355824
23,2022-03-01 23:00:00,0,304.12,154.12,21.5555396774963
24,2022-03-02 00:00:00,0,309.42,159.42,22.2968085607738
25,2022-03-02 01:00:00,0,306.28,156.28,21.8576417129453
26,2022-03-02 02:00:00,0,305.66,155.66,21.7709272398072
27,2022-03-02 03:00:00,0,313.57,163.57,22.8772360825855
28,2022-03-02 04:00:00,791.62,0,0,0
29,2022-03-02 05:00:00,759,0,0,0
30,2022-03-02 06:00:00,1003.8,0,0,0
31,2022-03-02 07:00:00,1051.12,0,0,0
32,2022-03-02 08:00:00,1026.73,0,0,0
33,2022-03-02 09:00:00,1027.43,0,0,0
34,2022-03-02 10:00:00,1003.06,0,0,0
35,2022-03-02 11:00:00,1058.29,0,0,0
36,2022-03-02 12:00:00,1008.01,0,0,0
37,2022-03-02 13:00:00,812.19,0,0,0
38,2022-03-02 14:00:00,389.56,0,0,0
39,2022-03-02 15:00:00,363.63,0,0,0
40,2022-03-02 16:00:00,0,336.7,186.7,26.1122453788513
41,2022-03-02 17:00:00,0,327.12,177.12,24.7723669068138
42,2022-03-02 18:00:00,0,318.3,168.3,23.5387835953973
43,2022-03-02 19:00:00,0,323.17,173.17,24.2199117956919
44,2022-03-02 20:00:00,0,296.05,146.05,20.4268529061662
45,2022-03-02 21:00:00,0,289.59,139.59,19.5233440408884
46,2022-03-02 22:00:00,0,293.12,143.12,20.0170570895619
47,2022-03-02 23:00:00,0,296.83,146.83,20.5359453078561
48,2022-03-03 00:00:00,0,299.58,149.58,20.9205659548397
49,2022-03-03 01:00:00,0,295.26,145.26,20.3163618839418
50,2022-03-03 02:00:00,0,295.65,145.65,20.3709080847868
51,2022-03-03 03:00:00,0,307.19,157.19,21.9849161815835
52,2022-03-03 04:00:00,800.94,0,0,0
53,2022-03-03 05:00:00,767.07,0,0,0
54,2022-03-03 06:00:00,826.46,0,0,0
55,2022-03-03 07:00:00,911.72,0,0,0
56,2022-03-03 08:00:00,945.99,0,0,0
57,2022-03-03 09:00:00,802.45,0,0,0
58,2022-03-03 10:00:00,818.27,0,0,0
59,2022-03-03 11:00:00,816.69,0,0,0
